Start_End,Location,Iteration,Lux_value
Start,1,1,1356
Start,1,2,1383
Start,1,3,1378
Start,2,1,1182
Start,2,2,1162
Start,2,3,1213
Start,3,1,1522
Start,3,2,1531
Start,3,3,1554
Start,4,1,2014
Start,4,2,2020
Start,4,3,2018
End,1,1,
End,1,2,
End,1,3,
End,2,1,
End,2,2,
End,2,3,
End,3,1,
End,3,2,
End,3,3,
End,4,1,
End,4,2,
End,4,3,
