Start_End,Location,Iteration,Lux_value
Start,1,1,925
Start,1,2,928
Start,1,3,924
Start,2,1,1438
Start,2,2,1456
Start,2,3,1459
Start,3,1,1172
Start,3,2,1188
Start,3,3,1186
Start,4,1,799
Start,4,2,798
Start,4,3,802
End,1,1,959
End,1,2,972
End,1,3,952
End,2,1,1478
End,2,2,1483
End,2,3,1477
End,3,1,1209
End,3,2,1207
End,3,3,1207
End,4,1,824
End,4,2,832
End,4,3,827
