Start_End,Location,Iteration,Lux_value
Start,1,1,814
Start,1,2,836
Start,1,3,822
Start,2,1,1448
Start,2,2,1452
Start,2,3,1502
Start,3,1,1621
Start,3,2,1735
Start,3,3,1789
Start,4,1,835
Start,4,2,825
Start,4,3,847
End,1,1,1656
End,1,2,1654
End,1,3,1592
End,2,1,744
End,2,2,748
End,2,3,799
End,3,1,804
End,3,2,798
End,3,3,771
End,4,1,1381
End,4,2,1298
End,4,3,1385
