Start_End,Location,Iteration,Lux_value
Start,1,1,1495
Start,1,2,1550
Start,1,3,1493
Start,2,1,1619
Start,2,2,1596
Start,2,3,1584
Start,3,1,770
Start,3,2,893
Start,3,3,913
Start,4,1,947
Start,4,2,915
Start,4,3,908
End,1,1,
End,1,2,
End,1,3,
End,2,1,
End,2,2,
End,2,3,
End,3,1,
End,3,2,
End,3,3,
End,4,1,
End,4,2,
End,4,3,
