Start_End,Location,Iteration,Lux_value
Start,1,1,375
Start,1,2,246
Start,1,3,286
Start,2,1,777
Start,2,2,768
Start,2,3,743
Start,3,1,1388
Start,3,2,1428
Start,3,3,1425
Start,4,1,561
Start,4,2,545
Start,4,3,556
End,1,1,
End,1,2,
End,1,3,
End,2,1,
End,2,2,
End,2,3,
End,3,1,
End,3,2,
End,3,3,
End,4,1,
End,4,2,
End,4,3,
