Start_End,Location,Iteration,Lux_value
Start,1,1,554
Start,1,2,540
Start,1,3,562
Start,2,1,1252
Start,2,2,1357
Start,2,3,1323
Start,3,1,1500
Start,3,2,1588
Start,3,3,1433
Start,4,1,565
Start,4,2,614
Start,4,3,595
End,1,1,532
End,1,2,530
End,1,3,519
End,2,1,1278
End,2,2,1173
End,2,3,1114
End,3,1,1475
End,3,2,1381
End,3,3,1487
End,4,1,609
End,4,2,603
End,4,3,647
