Start_End,Location,Iteration,Lux_value
Start,1,1,248
Start,1,2,252
Start,1,3,261
Start,2,1,207
Start,2,2,193
Start,2,3,222
Start,3,1,309
Start,3,2,329
Start,3,3,325
Start,4,1,960
Start,4,2,968
Start,4,3,963
End,1,1,
End,1,2,
End,1,3,
End,2,1,
End,2,2,
End,2,3,
End,3,1,
End,3,2,
End,3,3,
End,4,1,
End,4,2,
End,4,3,
