Start_End,Location,Iteration,Lux_value
Start,1,1,1326
Start,1,2,1334
Start,1,3,1367
Start,2,1,1015
Start,2,2,1030
Start,2,3,1009
Start,3,1,1301
Start,3,2,1311
Start,3,3,1319
Start,4,1,1771
Start,4,2,1752
Start,4,3,1764
End,1,1,1343
End,1,2,1332
End,1,3,1344
End,2,1,1012
End,2,2,1004
End,2,3,1013
End,3,1,1303
End,3,2,1315
End,3,3,1304
End,4,1,1754
End,4,2,1763
End,4,3,1773
