Start_End,Location,Iteration,Lux_value
Start,1,1,1170
Start,1,2,1187
Start,1,3,1183
Start,2,1,1119
Start,2,2,1133
Start,2,3,1128
Start,3,1,1494
Start,3,2,1499
Start,3,3,1505
Start,4,1,1617
Start,4,2,1626
Start,4,3,1621
End,1,1,
End,1,2,
End,1,3,
End,2,1,
End,2,2,
End,2,3,
End,3,1,
End,3,2,
End,3,3,
End,4,1,
End,4,2,
End,4,3,
