Participant ID,Moderator Initials,Device Type,Session Type,Survey Type,Timestamp,Global Time (seconds),Target Time (seconds),Deviation (seconds),Response,Focus,Missed
1005,KAM,AI Glasses & Neural Band,Watching,misc,2025-11-04 13:31:03.888,565,600,-35,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,eyestrain,2025-11-04 13:31:07.484,569,600,-31,1,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,misc,2025-11-04 13:41:06.348,1168,1200,-32,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,eyestrain,2025-11-04 13:41:10.694,1172,1200,-28,1,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,misc,2025-11-04 13:51:03.952,1765,1800,-35,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,discomfort,2025-11-04 13:51:11.385,1773,1800,-27,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,eyestrain,2025-11-04 13:51:15.662,1777,1800,-23,1,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,misc,2025-11-04 14:01:07.122,2369,2400,-31,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,eyestrain,2025-11-04 14:01:15.271,2377,2400,-23,2,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,misc,2025-11-04 14:11:20.121,2982,3000,-18,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,eyestrain,2025-11-04 14:11:27.354,2989,3000,-11,1,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,misc,2025-11-04 14:21:06.002,3568,3600,-32,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,discomfort,2025-11-04 14:21:14.198,3576,3600,-24,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,eyestrain,2025-11-04 14:21:17.964,3580,3600,-20,2,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,misc,2025-11-04 14:31:05.089,4167,4200,-33,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,eyestrain,2025-11-04 14:31:13.054,4175,4200,-25,1,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,misc,2025-11-04 14:41:06.093,4768,4800,-32,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,eyestrain,2025-11-04 14:41:12.626,4774,4800,-26,1,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,misc,2025-11-04 14:51:10.935,5372,5400,-28,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,discomfort,2025-11-04 14:51:13.731,5375,5400,-25,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,eyestrain,2025-11-04 14:51:17.982,5380,5400,-20,1,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,misc,2025-11-04 15:01:02.967,5965,6000,-35,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,eyestrain,2025-11-04 15:01:06.507,5968,6000,-32,1,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,misc,2025-11-04 15:11:02.453,6564,6600,-36,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Watching,eyestrain,2025-11-04 15:11:08.556,6570,6600,-30,1,"Real world, plain backdrop",false
