Start_End,Location,Iteration,Lux_value
Start,1,1,3356
Start,1,2,3439
Start,1,3,3445
Start,2,1,4779x10
Start,2,2,1667x14
Start,2,3,1340x10
Start,3,1,1925x10
Start,3,2,1877x10
Start,3,3,1802x10
Start,4,1,2256
Start,4,2,2245
Start,4,3,2569
End,1,1,3806
End,1,2,3776
End,1,3,3812
End,2,1,6456
End,2,2,6234
End,2,3,5998
End,3,1,1788x10
End,3,2,1654x10
End,3,3,1345x10
End,4,1,2577
End,4,2,2478
End,4,3,2471
